Booking ID,Customer Name,Age Group,City,Package Type,Booking Date,Travel Date,Destination,No of Travellers,Package Cost,Discount Applied,Final Revenue,Payment Mode,Agent Name,Branch City,Season,Customer Rating (1-5)
BK0167,Customer_167,60+,Hyderabad,Flight,2024-06-21,2024-09-16,Dubai,5,56505,9805,46700,Net Banking,Deepa Nair,Hyderabad,Off-Peak,2.9
BK0168,Customer_168,18-25,Mumbai,Hotel,2024-08-01,2024-10-25,Andaman,6,48416,11039,37377,Credit Card,Kiran Das,Mumbai,Off-Peak,2.1
BK0169,Customer_169,46-60,Kolkata,Combo,2024-03-28,2024-09-25,Maldives,6,11731,2390,9341,Cash,Sunita Rao,Kolkata,Peak,4.3
BK0170,Customer_170,18-25,Kolkata,Flight,2024-08-13,2024-06-09,Ooty,2,19404,1562,17842,Net Banking,Deepa Nair,Kolkata,Peak,2.6
BK0171,Customer_171,26-35,Ahmedabad,Combo,2024-09-22,2024-04-16,Dubai,3,13163,2890,10273,Net Banking,Kiran Das,Ahmedabad,Off-Peak,2.3
BK0172,Customer_172,60+,Chennai,Hotel,2024-06-30,2024-12-12,Bangkok,6,74878,11217,63661,UPI,Kiran Das,Chennai,Off-Peak,1.8
BK0173,Customer_173,26-35,Kolkata,Hotel,2024-06-01,2024-05-27,Bangkok,2,78149,9781,68368,Net Banking,Arjun Mehta,Kolkata,Off-Peak,2.4
BK0174,Customer_174,60+,Bengaluru,Hotel,2024-07-13,2024-07-21,Leh,2,20974,4697,16277,UPI,Ravi Kumar,Bengaluru,Off-Peak,4.8
BK0175,Customer_175,46-60,Delhi,Hotel,2024-04-19,2024-04-13,Dubai,3,62983,8403,54580,Cash,Deepa Nair,Delhi,Off-Peak,1.5
BK0176,Customer_176,60+,Kolkata,Flight,2024-04-25,2024-11-22,Manali,1,11653,2743,8910,Credit Card,Sunita Rao,Kolkata,Off-Peak,3.9
BK0177,Customer_177,60+,Delhi,Combo,2024-03-21,2024-07-27,Maldives,4,23018,42,22976,Net Banking,Deepa Nair,Delhi,Peak,4
BK0178,Customer_178,18-25,Bengaluru,Hotel,2024-02-15,2024-11-29,Singapore,2,42409,10582,31827,Cash,Deepa Nair,Bengaluru,Peak,4.7
BK0179,Customer_179,46-60,Chennai,Hotel,2024-09-10,2024-04-05,Bangkok,3,28040,595,27445,Credit Card,Ravi Kumar,Chennai,Off-Peak,3.3
BK0180,Customer_180,60+,Delhi,Hotel,2024-09-25,2024-09-09,Rajasthan,5,42298,7444,34854,Net Banking,Arjun Mehta,Delhi,Peak,4.2
BK0181,Customer_181,26-35,Hyderabad,Flight,2024-01-08,2024-06-21,Andaman,5,65150,8430,56720,Debit Card,Priya S,Hyderabad,Off-Peak,4.3
BK0182,Customer_182,26-35,Hyderabad,Flight,2024-03-12,2024-09-01,Leh,2,57538,3125,54413,Credit Card,Arjun Mehta,Hyderabad,Off-Peak,1.9
BK0183,Customer_183,60+,Bengaluru,Hotel,2024-01-06,2024-05-13,Maldives,3,44576,9543,35033,Debit Card,Ravi Kumar,Bengaluru,Peak,2.9
BK0184,Customer_184,18-25,Chennai,Hotel,2024-11-23,2024-05-31,Leh,5,70866,10190,60676,Debit Card,Priya S,Chennai,Peak,2.9
BK0185,Customer_185,60+,Ahmedabad,Combo,2024-08-29,2024-10-02,Maldives,2,53971,6813,47158,Debit Card,Deepa Nair,Ahmedabad,Peak,3.1
BK0186,Customer_186,18-25,Hyderabad,Flight,2024-10-07,2024-09-15,Manali,5,78946,3676,75270,Cash,Priya S,Hyderabad,Peak,2.3
BK0187,Customer_187,46-60,Ahmedabad,Flight,2024-02-16,2024-09-18,Shimla,1,31922,9554,22368,Net Banking,Priya S,Ahmedabad,Off-Peak,2.8
BK0188,Customer_188,18-25,Mumbai,Combo,2024-07-21,2024-05-10,Goa,6,65604,10098,55506,Debit Card,Kiran Das,Mumbai,Peak,1.2
BK0189,Customer_189,18-25,Hyderabad,Combo,2024-02-05,2024-08-29,Goa,3,13357,2216,11141,Net Banking,Priya S,Hyderabad,Peak,4.1
BK0190,Customer_190,46-60,Pune,Hotel,2024-07-11,2024-02-11,Maldives,6,55132,14697,40435,Cash,Priya S,Pune,Off-Peak,1.5
BK0191,Customer_191,26-35,Pune,Combo,2024-01-02,2024-01-12,Andaman,4,21691,5962,15729,Cash,Sunita Rao,Pune,Off-Peak,4.3
BK0192,Customer_192,36-45,Kolkata,Hotel,2024-04-06,2024-02-27,Goa,6,50371,2541,47830,Net Banking,Kiran Das,Kolkata,Peak,2
BK0193,Customer_193,60+,Delhi,Flight,2024-12-10,2024-12-26,Goa,2,9400,1828,7572,Credit Card,Sunita Rao,Delhi,Off-Peak,1.9
BK0194,Customer_194,36-45,Kolkata,Flight,2024-04-29,2024-10-21,Leh,5,23367,4127,19240,Cash,Deepa Nair,Kolkata,Off-Peak,1.9
BK0195,Customer_195,46-60,Chennai,Combo,2024-06-02,2024-05-20,Goa,5,73321,7243,66078,Cash,Deepa Nair,Chennai,Peak,3.5
BK0196,Customer_196,36-45,Pune,Combo,2024-11-25,2024-12-09,Ooty,5,69962,1536,68426,UPI,Deepa Nair,Pune,Off-Peak,2.6
BK0197,Customer_197,26-35,Bengaluru,Hotel,2024-04-25,2024-06-02,Bangkok,2,29101,7758,21343,Net Banking,Ravi Kumar,Bengaluru,Off-Peak,4.9
BK0198,Customer_198,26-35,Chennai,Hotel,2024-06-18,2024-11-27,Kerala,4,36831,4177,32654,UPI,Ravi Kumar,Chennai,Peak,1.2
BK0199,Customer_199,26-35,Pune,Combo,2024-10-27,2024-12-09,Dubai,2,10183,298,9885,Net Banking,Priya S,Pune,Off-Peak,2.2
BK0200,Customer_200,46-60,Mumbai,Flight,2024-05-04,2024-12-22,Singapore,6,29906,1922,27984,Debit Card,Sunita Rao,Mumbai,Peak,3.2
